Интегра;17198931;Набор пластиковой мебели Калифорния;California 3 Seater;;Высочайший комфорт, оригинальный, элегантный стиль и уникальный дизайн являются основными преимуществами набора Калифорния. Набор мебели состоит из широкой, удобной трехместной софы, двух кресел и квадратного столика.;50 000;55 000;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Израиль;натурального ротанга;58;Диван 199х68х72, Кресло 83х68х72, Стол 68х68х35; 120х70х58
Интегра;17199231;Шезлонг Атлантик;Atlantic;;;8 900;11 000;Лежаки, шезлонги;пластик;В НАЛИЧИИ;Израиль;коричневый ;;197х74х36;
Интегра;17195066;Шезлонг Пасифик;Pacific;;;10 000;12 000;Лежаки, шезлонги;пластик;В НАЛИЧИИ;Израиль;коричневый ;;197х75х41;
Интегра;17192156;Шезлонг Дейтон;Daytona;;Комфортный и элегантный садовый шезлонг Дейтон имеет регулируемую четырехпозиционную спинку. Удобные, мягкие подушки еще больше улучшают потребительские свойства этого продукта. Дейтон отличается высокой прочностью и стойкостью к повреждениям;12 000;14 000;Лежаки, шезлонги;пластик;В НАЛИЧИИ;Израиль;коричневый ;11;195х65х22; 70х70х40
Интегра;17197990;Набор Бистро на 2 персоны;Bistro Set;;;7 100;9 000;Столы на 2 персоны;пластик;В НАЛИЧИИ;Израиль;коричневый ;;Кресло 48х57х87, Стол ?60х75; 74х62х34
Интегра;17199261;Набор Челси на 2 персоны;Chelsea set;;;8 800;11 000;Столы на 2 персоны;пластик;В НАЛИЧИИ;Израиль;коричневый ;;Кресло 48х57х87, Стол ?60х74; 74х62х34
Интегра;17200848;Обеденый комплект Джерси;Jersey set;;;16 000;20 000;Обеденные комплекты;пластик;В НАЛИЧИИ;Израиль;коричневый ;;Кресло 48х57х87, Стол 96х96х72; 104х99х28
Интегра;17192157;Сидение-ящик;Cube whis coution (сидение-ящик);;;3 000;3 400;Ширмы, сундуки, шкафы;пластик;В НАЛИЧИИ;Израиль;коричневый ;; 42х42х39; 46x44x18
Интегра;17200570;Стол-тумба;Arica Rattan Table (стол-тумба);;;4 700;6 000;Ширмы, сундуки, шкафы;пластик;В НАЛИЧИИ;Израиль;коричневый ;;79х59х42;
Интегра;17197637;Набор Рио на 2 персоны;Rio Patio;;;11200;14000;Столы на 2 персоны;пластик;В НАЛИЧИИ;Израиль;коричневый ;;Кресло 77,5х54х76 Стол 38х38х36;77х56х40
Интегра;17202279;Обеденый комплект Колумбия;Columbia set 5 pcs;;Состоящий из пять элементов комплект садовой мебели Колумбия характеризуется исключительно современным и элегантным дизайном - вдохновленным натуральным ротанговым плетением. Его важнейшим преимуществом является модульная конструкция, позволяющая пр;29600;37000;Обеденные комплекты;;В НАЛИЧИИ;Израиль;коричневый ;46;кресло 56 x 54 x 68 стол 117 x 117 x 75;119 x 119 x 30
